,Landcover,Class,20140101_20140331,20140401_20140630,20140701_20140930,20141001_20141231,20150101_20150331,20150401_20150630,20150701_20150930,20151001_20151231,20160101_20160331,20160401_20160630,20160701_20160930,20161001_20161231,20170101_20170331,20170401_20170630,20170701_20170930,20171001_20171231,20180101_20180331,20180401_20180630,20180701_20180930,20181001_20181231,20190101_20190331,20190401_20190630,20190701_20190930,20191001_20191231,20200101_20200331,20200401_20200630,20200701_20200930,20201001_20201231,20210101_20210331,20210401_20210630,20210701_20210930,20211001_20211231,20220101_20220331,20220401_20220630,20220701_20220930,20221001_20221231,20230101_20230331,20230401_20230630,20230701_20230930
0,Hutan,1,,0.474555284,0.499835479,0.482219907,0.403966032,0.506449856,0.636237387,0.659179252,0.402672733,0.461098085,0.439441863,0.401844705,0.416734333,0.43285173,0.449827089,0.426609181,,0.419632805,0.542977747,0.58869541,,0.397453064,0.462325391,0.465635789,0.396098562,0.404333608,0.472170325,0.396980754,,0.462683965,0.431304908,0.408055659,0.391430058,,0.494187084,0.370930206,,0.470589675,0.456142762
1,Hutan,1,0.561200367,0.477181224,0.442006755,0.515893639,0.747733944,0.491908519,0.568441658,0.60624733,0.36214072,0.499785619,0.687365872,,0.482225922,0.553421968,0.527067921,0.434694837,,0.440678729,0.556754653,0.600495468,,0.476380298,0.517954333,0.698157513,,0.477209291,0.473056782,0.76488966,,0.507308396,0.458018333,0.53767665,0.435669422,,0.506455065,,,0.51292337,0.50098741
2,Hutan,1,0.564980602,0.679878354,0.591530187,0.507006743,0.512789917,0.664983498,0.618826902,0.615237866,0.501270905,,0.641651794,,0.535639657,0.68588495,0.641857017,0.472093337,0.521285195,0.623673671,0.634826293,0.534637636,,0.606559003,0.692724028,0.633898643,0.594357896,0.696128081,0.630136065,0.476504257,,0.643931962,0.664879906,0.475226173,0.521714627,,0.633556231,,,0.640336191,0.626636926
3,Hutan,1,0.340097966,0.417698538,0.42861414,0.487264514,0.467440726,0.418225557,0.578273159,0.59505322,0.434628121,0.423628954,0.421150988,,0.381334981,0.448423316,0.567683629,0.535848507,,0.500819028,0.573334639,0.594399478,,0.471945961,0.520670293,0.553575597,,0.444789523,0.437312542,0.459801535,,0.403925604,0.476276516,0.460297371,0.391970056,0.632581912,0.478867769,0.649414487,0.625752149,0.467524658,0.547132553
4,Hutan,1,,0.454180885,0.511844805,0.543050579,0.662517945,0.495253995,0.578379088,0.60792747,0.408247885,0.474379731,0.447246046,,0.42741122,0.618824506,0.493468552,0.546481344,,0.489480352,0.504340512,0.51061896,,0.473626494,0.557511357,0.569722661,0.551602716,0.489802815,0.507624451,0.424351681,,0.467966404,0.445265754,0.736263505,0.379539855,,0.487839046,,0.456879348,0.388266568,0.480894252
5,Hutan,1,0.524361082,0.562967868,0.603049277,0.534537805,0.811740184,0.588879885,0.561929876,0.556237943,0.519371223,0.525153557,0.528764819,,0.540840214,0.556420896,0.544042832,,,0.563933388,0.578164851,0.526645592,,0.579721574,0.576327103,0.540850984,,0.576294459,0.588731715,0.820610445,,0.586227501,0.540399025,,0.492648344,0.585281829,0.540242777,,,0.514043887,0.582569827
6,Hutan,1,0.553046746,0.588990174,0.595741293,,0.432496689,0.552237582,0.572505325,0.575001049,0.51427383,0.596420925,0.578201015,,0.543392067,0.55697961,0.553263864,,0.504997584,0.587602919,0.57893774,0.51179841,,0.669504762,0.65315839,0.622642896,,0.529545898,0.567071526,0.798179727,,0.530989298,0.573877964,,0.427773819,0.645158701,0.530577621,,,0.510469712,0.577827157
7,Hutan,1,0.560584276,0.477496157,0.495291894,,0.600438874,0.52360595,0.560566857,0.599573256,0.508919511,0.57495911,0.531568447,,0.497999177,0.52588901,0.53828347,,,0.50077039,0.557784592,0.55395619,,0.511989379,0.590093525,0.644065155,,0.539691006,0.532527181,0.970196403,,0.529455054,0.547407565,,0.354928679,0.435408215,0.527119945,,,0.51102996,0.531400751
8,Hutan,1,0.607912529,0.643893684,0.641381459,0.606608955,0.771903871,0.681205015,0.632369898,0.625550847,0.586440457,0.665158326,0.640950653,,0.649936243,0.611745672,0.631648106,0.617657513,0.615311222,0.672864293,0.67005417,0.631371001,,0.676063769,0.687314675,0.620400725,,0.687651982,0.683908841,0.741178353,,0.663375333,0.663666028,,0.582025721,0.620829106,0.677959925,,,0.645629877,0.637580792
9,Hutan,1,0.55582107,0.593666531,0.606110701,0.378510122,0.745207616,0.627760881,0.637676816,0.606126151,0.51453581,0.576008282,0.593506944,,0.599080025,0.567886966,0.604717699,0.557992902,0.526567342,0.593794907,0.629520223,0.614666812,,0.623715547,0.679469845,0.626143628,,0.592386668,0.640879079,0.858823034,,0.604787025,0.61880839,,0.501943519,0.634075304,0.645323913,,,0.590450155,0.622800584
10,Hutan,1,0.653132157,0.586681313,0.604373372,0.623797058,0.82768674,0.609417424,0.607369413,0.616213337,,0.596319917,0.610902502,,0.622194346,0.57354444,0.586888054,0.611825499,0.630427793,0.583723327,0.604604298,0.631707042,,0.607713665,0.634225254,0.639156677,,0.587243363,0.589278411,0.818628505,,0.575504757,0.589447447,,0.560111917,,0.602013484,,,0.564673928,0.601202044
11,Hutan,1,,0.654384493,0.656862456,0.604325486,0.743471067,0.667400162,0.608443512,0.615816297,0.649927565,0.767283628,0.664684333,0.633076318,0.666706882,0.639210991,0.663969708,0.664494147,,0.671918825,0.643485121,0.646691165,,0.652373875,0.695108072,0.618163906,,0.652231022,0.665654506,0.813573848,,0.63700591,0.655806487,,,,0.660738443,,,0.595676969,0.634517729
12,Hutan,1,,0.566038429,0.572459912,0.639664488,0.779043924,0.548193979,0.575826426,0.637719767,0.567131824,,0.59722702,,0.557379585,0.555207715,0.53779454,0.506880613,,0.549125711,0.561675348,0.603113855,,0.574461184,0.592269504,0.614204847,,0.55059283,0.558654443,0.560163322,0.61902263,0.547353751,0.536118082,,0.522943784,,0.566813129,,,0.53184341,0.57485541
