,Landcover,Class,20140101_20140331,20140401_20140630,20140701_20140930,20141001_20141231,20150101_20150331,20150401_20150630,20150701_20150930,20151001_20151231,20160101_20160331,20160401_20160630,20160701_20160930,20161001_20161231,20170101_20170331,20170401_20170630,20170701_20170930,20171001_20171231,20180101_20180331,20180401_20180630,20180701_20180930,20181001_20181231,20190101_20190331,20190401_20190630,20190701_20190930,20191001_20191231,20200101_20200331,20200401_20200630,20200701_20200930,20201001_20201231,20210101_20210331,20210401_20210630,20210701_20210930,20211001_20211231,20220101_20220331,20220401_20220630,20220701_20220930,20221001_20221231,20230101_20230331,20230401_20230630,20230701_20230930
160,Hutan,1,,-0.043318675,-0.028333947,-0.030119439,-0.16791359,-0.001126685,0.049219411,0.016102035,-0.040485251,-0.034729802,0.011855308,,-0.062201742,0.011915893,0.020477512,0.002082978,,0.047077608,0.043245102,0.048687307,-0.016320133,0.005365618,0.081014906,0.033952668,0.018020542,-0.00728559,0.051580793,-0.040040608,,0.044620736,0.0507036,-0.016610238,-0.026268577,-0.007206276,0.027424689,,,0.028802183,0.052115575
213,Hutan,1,,,-0.173897516,,-0.127774259,-0.074645438,-0.108680032,,,,,,-0.18431783,-0.372367949,,-0.261861748,-0.191930474,-0.115404397,-0.056745424,-0.214833881,,-0.059714128,-0.079129552,,,-0.059369493,-0.119385022,-0.479967451,,-0.078439048,-0.075580736,,-0.222252836,,-0.111425181,,,-0.123462454,-0.132082132
166,Hutan,1,,-0.126601787,-0.085869609,-0.089857202,-0.147922323,-0.08188675,-0.051529875,-0.06084018,-0.154858196,-0.095424586,-0.129252344,,-0.140111226,-0.062270642,-0.088135695,-0.105981706,,-0.113680945,-0.061344134,-0.095125645,,-0.065695186,-0.022788441,-0.046628656,-0.130372582,-0.137952194,-0.083492555,-0.187924661,,-0.171821951,-0.072764292,-0.154039183,-0.145316815,-0.163390405,-0.109178486,,-0.138897796,-0.097516327,-0.078035398
218,Hutan,1,,-0.197531826,-0.161700469,,-0.342682828,-0.133179867,-0.151705592,-0.166964583,,-0.193622412,-0.16601268,,-0.14256048,-0.398439606,-0.151103429,-0.181898778,-0.178075367,-0.208614022,-0.212574219,-0.2225043,,-0.159662586,-0.137397143,-0.166606333,,-0.146867665,-0.148896886,-0.531714033,,-0.177183122,-0.176713327,,-0.163322862,-0.187888199,-0.173568709,,-0.132823699,-0.180746619,-0.167936425
117,Hutan,1,-0.194088719,,-0.182123628,-0.154763581,-0.421177011,-0.145439101,-0.158500539,-0.219311262,-0.200484284,-0.164207733,-0.164334136,,-0.171516004,-0.263121433,-0.150091345,-0.170294966,,-0.117879613,-0.161030269,-0.21167164,,-0.142458126,-0.145166631,-0.189959043,,-0.176811856,-0.176765429,-0.407711694,,-0.197194573,,,-0.236460845,,-0.176130835,,,,-0.183155415
50,Hutan,1,-0.226490453,-0.175666305,-0.193914342,,-0.385041587,-0.160147387,-0.157310924,,,,-0.171760051,,-0.218094655,-0.249028367,,-0.18489722,,-0.121247648,-0.126199729,-0.214898653,,-0.096733539,-0.13304244,-0.195520238,,-0.177468167,-0.161326145,-0.515828363,,-0.139641463,-0.133286691,,-0.233834767,,-0.156585752,,,-0.145310089,-0.168689716
53,Hutan,1,,-0.19536305,-0.234470551,-0.291128414,-0.255490612,-0.182862614,-0.230681597,-0.308464266,-0.300503387,,-0.22010296,,,-0.229067411,-0.220238115,-0.298638452,-0.270549796,-0.19153873,-0.230517501,-0.293872284,,-0.170706019,-0.199673943,-0.29609385,,-0.174618074,-0.225448854,-0.535260717,,-0.201359002,-0.177702245,,-0.223598826,,-0.205152977,,,-0.224603325,-0.205456511
107,Hutan,1,-0.257644444,-0.29482632,-0.221697653,,-0.258530281,-0.192479773,-0.234356487,-0.266850287,,-0.210130829,-0.23357178,,,-0.419846288,-0.208585113,,,-0.226217229,-0.233429558,-0.248472034,,-0.219155505,-0.215268194,-0.243145213,,-0.189803094,-0.221893826,-0.426511514,,-0.070144864,-0.202229681,,,,-0.21880482,-0.301476668,,-0.212388161,-0.231313626
223,Hutan,1,,-0.211973976,-0.213562038,-0.302116474,-0.448739596,-0.198856936,-0.210044782,-0.228165557,-0.206910441,-0.225292712,-0.190545383,-0.261826205,-0.246089015,-0.260360432,-0.225005957,-0.296521813,,-0.275272729,-0.22887335,-0.29999331,,-0.246659499,-0.219537805,-0.241523142,,-0.252761454,-0.285282531,,,-0.254627413,-0.242498967,,-0.270536296,-0.302454773,-0.278285373,-0.326111312,-0.270424267,-0.26472449,-0.253697288
129,Hutan,1,-0.27022113,-0.261561418,-0.227988358,-0.17677304,-0.271898747,-0.202285634,-0.149815369,-0.145208398,-0.298540813,-0.239676387,-0.242649112,-0.260786304,-0.24861924,-0.230473627,-0.187086926,-0.223811588,,-0.236220491,-0.177645917,-0.186139022,,-0.224757569,-0.128127525,-0.108147677,-0.225782799,-0.232989534,-0.163919951,-0.175943394,,-0.228501948,-0.204849414,-0.210693391,-0.225035272,-0.224719454,-0.219665939,-0.253785078,-0.232881248,-0.235235721,-0.187533903
