,Landcover,Class,20140101_20140331,20140401_20140630,20140701_20140930,20141001_20141231,20150101_20150331,20150401_20150630,20150701_20150930,20151001_20151231,20160101_20160331,20160401_20160630,20160701_20160930,20161001_20161231,20170101_20170331,20170401_20170630,20170701_20170930,20171001_20171231,20180101_20180331,20180401_20180630,20180701_20180930,20181001_20181231,20190101_20190331,20190401_20190630,20190701_20190930,20191001_20191231,20200101_20200331,20200401_20200630,20200701_20200930,20201001_20201231,20210101_20210331,20210401_20210630,20210701_20210930,20211001_20211231,20220101_20220331,20220401_20220630,20220701_20220930,20221001_20221231,20230101_20230331,20230401_20230630,20230701_20230930
0,Hutan,1,,0.282161627,0.265943473,0.272079788,0.328693771,0.263799918,0.175863616,0.165621085,0.331620284,0.28932948,0.30987946,0.332778004,0.317268861,0.311432278,0.301733683,0.314419379,,0.317345874,0.234249596,0.201788134,,0.336528867,0.292041125,0.289619446,0.343635121,0.333211384,0.287493806,0.338594377,,0.286477596,0.318595716,0.327629843,0.339073113,,0.269072435,0.351869128,,0.281373443,0.295053778
1,Hutan,1,0.22359161,0.275199032,0.306682336,0.25434054,0.126054643,0.269536294,0.219955134,0.197434015,0.359984549,0.26745486,0.155263713,,0.273483693,0.233881321,0.246659509,0.307732978,,0.301738091,0.23103667,0.202670764,,0.281163353,0.25597954,0.140651938,,0.27934354,0.280820893,0.131641777,,0.262822754,0.295370918,0.21318046,0.307642823,,0.26261736,,,0.254504848,0.262626592
2,Hutan,1,0.218790083,0.153049284,0.202764411,0.24957452,0.245177058,0.165487807,0.187385432,0.189896754,0.263118217,,0.174981911,,0.235838356,0.150157904,0.175473188,0.281340903,0.246167009,0.18640309,0.178802466,0.241473113,,0.192652377,0.143402184,0.180036702,0.198140964,0.139556986,0.181776878,0.281298459,,0.173719577,0.16574091,0.280374082,0.240387721,,0.176401451,,,0.181916643,0.186910391
3,Hutan,1,0.388413103,0.32126591,0.317906743,0.274222921,0.284621143,0.324599528,0.217383008,0.207121075,0.30895872,0.319098491,0.325007307,,0.344739438,0.305489445,0.224657031,0.222816506,,0.253214823,0.215619838,0.203103003,,0.276305402,0.250013383,0.228124946,,0.300365303,0.306987414,0.281795978,,0.332110449,0.273180188,0.288752085,0.338055531,0.1850026,0.269190447,0.15778705,0.181120262,0.280788076,0.230590458
4,Hutan,1,,0.297205807,0.261041424,0.240271693,0.153817239,0.270017039,0.214420833,0.194439863,0.331227836,0.285093099,0.306315303,,0.31388993,0.197248545,0.266368346,0.215415104,,0.270005007,0.264237866,0.26140572,,0.285329026,0.230539788,0.225525667,0.230381101,0.269357657,0.260484206,0.315313361,,0.287132919,0.302484176,0.133049179,0.34990162,,0.275746222,,0.287460112,0.341575555,0.279629176
5,Hutan,1,0.243661163,0.221001999,0.198902134,0.23631268,0.096878809,0.202907778,0.223723308,0.2240035,0.249560305,0.238864101,0.243831728,,0.233409742,0.227139789,0.232036837,,,0.219141671,0.210960843,0.242138505,,0.213507924,0.21097885,0.233877277,,0.21184803,0.206725863,0.09043412,,0.209735852,0.235857008,,0.268712215,0.206141043,0.234191606,,,0.251745022,0.208829881
6,Hutan,1,0.226286702,0.203658282,0.20031058,,0.30827055,0.226936824,0.213178255,0.210829736,0.247174652,0.203796882,0.212085878,,0.233652937,0.226472346,0.224205283,,0.257164359,0.204908351,0.207439522,0.252049907,,0.156936414,0.166655781,0.185391261,,0.24182816,0.21839575,0.110026749,,0.242960623,0.215097021,,0.313559553,0.174171214,0.241165482,,,0.251502453,0.213785655
7,Hutan,1,0.220008795,0.276328803,0.268571301,,0.199047445,0.248420255,0.229000057,0.199981725,0.251663087,0.216878798,0.244510264,,0.260731827,0.246170683,0.237289417,,,0.26024534,0.225203701,0.226099504,,0.251247617,0.203381112,0.167581362,,0.2359668,0.241184301,0.034324624,,0.240665482,0.230844322,,0.369223094,0.292461801,0.245982145,,,0.252955539,0.244201022
8,Hutan,1,0.190105762,0.17091128,0.17371857,0.18896047,0.118692156,0.149910276,0.176076452,0.181501491,0.205357058,0.159915038,0.173278239,,0.162735492,0.171768324,0.178022579,0.184233505,0.186233195,0.154947279,0.159624322,0.177852933,,0.153080986,0.147572292,0.18330093,,0.148378047,0.151865461,0.140343291,,0.160868273,0.160014732,,0.210836789,0.183240112,0.150542333,,,0.165682083,0.175627834
9,Hutan,1,0.225181715,0.203604728,0.197642206,0.329720447,0.140743406,0.181283541,0.175573653,0.193799029,0.257944196,0.217285123,0.203486962,,0.197606177,0.221362083,0.196398328,0.226949945,0.243608749,0.200819994,0.178951409,0.190004166,,0.184903658,0.151722135,0.183109745,,0.202347345,0.174035134,0.08533392,,0.197227015,0.188723495,,0.266225215,0.17617962,0.172363572,,,0.202013357,0.186308288
10,Hutan,1,0.158817799,0.203583979,0.193924625,0.181936921,0.102923807,0.189619561,0.191216461,0.186401489,,0.199103091,0.189997713,,0.178143095,0.212321322,0.203082846,0.190885576,0.178288935,0.202933718,0.194126998,0.176723963,,0.190795937,0.176451657,0.170405645,,0.204097519,0.201363926,0.103868887,,0.210619545,0.201223192,,0.216872822,,0.192739567,,,0.217430547,0.194400172
11,Hutan,1,,0.165988165,0.168480068,0.194680646,0.11891644,0.158311068,0.191885626,0.187837014,0.170316564,0.106161142,0.159884614,0.168300944,0.157208257,0.174026209,0.160641518,0.158563805,,0.152277392,0.171371889,0.170211777,,0.167355723,0.144402737,0.186424307,,0.164969664,0.157253909,0.104260502,,0.176466254,0.165749608,,,,0.160749193,,,0.196913157,0.176538029
12,Hutan,1,,0.21635239,0.212344363,0.173311116,0.116621247,0.226915684,0.211507261,0.175714542,0.217447928,,0.197935063,,0.219261424,0.224668743,0.234121276,0.254211052,,0.225487796,0.221124815,0.194690572,,0.212616882,0.200842962,0.18528437,,0.22634406,0.219995305,0.211430702,0.186577492,0.228753056,0.234300317,,0.242087415,,0.214310637,,,0.23646886,0.21016226
13,Hutan,1,0.131137679,0.216402915,0.159586471,,0.156033539,0.221145822,0.184428887,0.094418041,0.136343856,,0.17068033,,0.135666301,0.058515697,0.206237447,0.178150978,,0.20103504,0.17854888,0.124137261,,0.193075236,0.174406317,0.136603625,,0.213113001,0.187305523,0.153918401,,0.200538023,0.187588493,,0.224870412,,0.186812062,,,0.233601797,0.161741861
14,Hutan,1,,0.165747634,0.146196,,0.140103066,0.172322331,0.15079738,0.160037916,0.134357075,0.179417337,0.132650082,0.16235926,0.152281991,0.172086846,0.170572491,0.188271385,,0.166034725,0.146377904,0.166770855,,0.14655018,0.141018852,0.15886454,,0.143106789,0.159205553,0.17392561,,0.16207484,0.134660275,,0.233147617,,0.151850306,,,0.169756757,0.144049543
15,Hutan,1,,0.252451744,0.250506176,0.241876949,0.077004375,0.221495865,,0.195012036,,0.283113046,0.209100671,0.179142108,0.161365615,0.248093576,0.242760013,0.254869138,0.20699708,0.225153019,0.202750688,0.219646485,,0.221853906,0.214029892,0.214009892,,0.224141772,0.246640497,0.159232113,0.226010981,0.243020863,0.215662515,,,,0.208858079,,,0.205475476,0.199539298
16,Hutan,1,,0.283775594,0.260283762,0.285875795,0.126977765,0.269553015,0.278495588,0.24895859,0.297487414,0.299971807,0.217223663,0.241119208,,0.247119356,0.264993795,0.287436441,0.244423736,0.287678419,0.234867216,0.253138696,,0.235541279,0.244730614,0.256322456,,0.255935343,0.276130477,0.278289426,0.253752832,0.269359229,0.263031471,,,,0.247555185,,,0.257095921,0.234059296
17,Hutan,1,,0.320366016,0.22996713,,0.226283532,0.301511323,0.19353297,0.158618041,0.25673124,,0.260702347,0.241563112,0.249066314,0.315518686,0.296513664,0.213857536,0.243632043,0.293361025,0.222189882,0.20140326,,0.283834808,0.23758181,0.199493313,,0.289767662,0.294305734,0.220515481,0.212574611,0.286121226,0.269428006,,,,0.272005145,,,0.325761538,0.216322103
18,Hutan,1,,0.264496122,0.267512178,0.229663945,0.156320925,0.261579423,0.211491553,0.191901485,0.337756853,,0.278656147,0.289015769,0.290912529,0.268206247,0.263479642,0.123380029,0.232781977,0.261907062,0.227616905,0.245797861,,0.20193166,0.222717442,0.196507196,,0.253841446,0.269837943,0.304396347,0.223995161,0.22846279,0.232819271,,,0.256887805,0.230673939,,,0.265140835,0.234247244
19,Hutan,1,,0.306812211,0.233293414,,0.108697085,0.291592644,,0.183630731,0.222187405,,0.233616716,0.208796759,0.252975483,0.282190223,0.241272539,0.155298139,0.192458035,0.254675337,0.251805509,0.200815821,,0.244242681,0.228821232,0.212177405,,0.255059999,0.248672297,0.213509755,0.159401364,0.238260125,0.25062683,,,,0.248573367,,,0.266582408,0.234992081
