,Landcover,Class,20140101_20140331,20140401_20140630,20140701_20140930,20141001_20141231,20150101_20150331,20150401_20150630,20150701_20150930,20151001_20151231,20160101_20160331,20160401_20160630,20160701_20160930,20161001_20161231,20170101_20170331,20170401_20170630,20170701_20170930,20171001_20171231,20180101_20180331,20180401_20180630,20180701_20180930,20181001_20181231,20190101_20190331,20190401_20190630,20190701_20190930,20191001_20191231,20200101_20200331,20200401_20200630,20200701_20200930,20201001_20201231,20210101_20210331,20210401_20210630,20210701_20210930,20211001_20211231,20220101_20220331,20220401_20220630,20220701_20220930,20221001_20221231,20230101_20230331,20230401_20230630,20230701_20230930
0,Hutan,1,,-0.010303793,-0.027885582,-0.019980246,-0.016681257,-0.02049115,-0.046572818,-0.057825514,-0.021217918,-0.012704613,-0.015000703,-0.02293059,-0.021838642,-0.016918565,-0.016882648,-0.019814376,,-0.022507026,-0.033935553,-0.051618134,,-0.027257226,-0.02737325,-0.034526808,-0.02940612,-0.018604816,-0.036625373,-0.026332868,,-0.009443955,-0.021259031,-0.020696475,-0.025789988,,-0.016427513,-0.019219012,,-0.01708827,-0.018722107
1,Hutan,1,-0.005157321,-0.018303026,-0.016899128,-0.032628052,0.126828578,-0.020645209,-0.041768108,-0.037012209,-0.02192785,-0.02507812,-0.052623324,,-0.029622178,-0.051060836,-0.038070417,-0.014131612,,-0.015432732,-0.039358158,-0.039507231,,-0.021857219,-0.022612448,-0.07778275,,-0.024750987,-0.036516493,0.192647609,,-0.023477941,-0.02563053,-0.009307056,-0.023498533,,-0.026255914,,,-0.024652006,-0.034122871
2,Hutan,1,-0.007538899,-0.002048182,-0.008718221,-0.037928398,0.000974611,-0.002734778,-0.015465191,-0.032656995,-0.016257831,,-0.01220137,,-0.015051149,-0.004880907,-0.013526396,-0.013714735,-0.012578443,-0.010525173,-0.009124404,-0.021619428,,-0.003298948,-0.021088969,-0.02589067,-0.022243904,-0.006433451,-0.023967496,-0.021538982,,-0.00731334,-0.011805055,-0.016025048,-0.008263088,,-0.006199364,,,-0.00756989,-0.007233507
3,Hutan,1,-0.026192139,-0.020307764,-0.031994829,-0.034619508,-0.013719914,-0.026722608,-0.065445225,-0.048926532,-0.030402923,-0.026532907,-0.041755261,,-0.034553165,-0.030843258,-0.057186057,-0.039633585,,-0.037226505,-0.065549216,-0.055409657,,-0.020891009,-0.043319285,-0.032845818,,-0.030227273,-0.033867268,-0.020101118,,-0.032554558,-0.023497243,-0.02688289,-0.026300638,-0.004964973,-0.026150557,-0.006751116,-0.002345227,-0.013727906,-0.044738137
4,Hutan,1,,-0.026066315,-0.027880708,-0.043186416,-0.011302867,-0.022319472,-0.045057255,-0.028253649,-0.024493716,-0.023905999,-0.0190038,,-0.039394225,-0.015860231,-0.026135148,-0.012640369,,-0.036807298,-0.03433984,-0.030314995,,-0.028970345,-0.03306039,-0.043887744,-0.027884786,-0.029104473,-0.034050281,-0.022471439,,-0.02026063,-0.027877324,0.039349005,-0.030663828,,-0.027395231,,-0.022126156,-0.019872299,-0.028096106
5,Hutan,1,-0.014508045,-0.007354206,-0.012427641,-0.008749724,0.127319537,-0.009306486,-0.011086935,-0.013271581,-0.012848591,-0.041761789,-0.01026399,,-0.019352569,-0.010516509,-0.012759855,,,-0.016091207,-0.004112455,-0.012375457,,-0.014985967,-0.012103083,-0.018050512,,-0.013630808,-0.021306118,0.129091056,,-0.011394765,-0.014120868,,-0.017426697,0.006717259,-0.016933342,,,-0.011802244,-0.013617294
6,Hutan,1,-0.011999094,-0.013762844,-0.0194551,,-0.020320927,-0.015048091,-0.007641305,-0.015700706,-0.010660895,-0.012818705,-0.016091941,,-0.024863096,-0.015804462,-0.016708487,,-0.023701639,-0.010794205,-0.011200587,-0.020195419,,-0.010499554,-0.017390784,-0.040604384,,-0.018041423,-0.025637564,0.127888451,,-0.016354982,-0.019567693,,-0.019919682,-0.011444167,-0.018232653,,,-0.0161458,-0.022386365
7,Hutan,1,-0.009135857,-0.015497289,-0.024800313,,0.004161973,-0.022588572,-0.031096483,-0.031145905,-0.025079252,-0.019764399,-0.026524431,,-0.031085457,-0.017764143,-0.028244106,,,-0.029299306,-0.015302658,-0.025971354,,-0.022284195,-0.030580619,-0.034394634,,-0.022789864,-0.027565596,0.249324383,,-0.014746864,-0.024575555,,-0.033413759,-0.020975519,-0.032873462,,,-0.018955661,-0.034634685
8,Hutan,1,-0.004269714,-0.000611513,-0.001156833,-0.006554507,0.101572341,-0.001654638,-0.005581783,-0.004656766,-0.002002705,-0.003348848,-0.005002548,,-0.0062553,-0.012055898,-0.00185443,-0.005726654,-0.004793582,-0.002658242,0.00231426,-0.010037381,,-0.005430711,-0.00607089,-0.00726397,,-0.001202921,-0.005069304,0.079896609,,-0.003679146,-0.004076555,,-0.004958448,-0.00238372,-0.004439661,,,-0.002182753,-0.004866032
9,Hutan,1,-0.021142895,-0.011751085,-0.020926321,-0.134891642,0.079844808,-0.012909793,-0.024854338,-0.02267344,-0.020897898,-0.016133375,-0.020738941,,-0.02027418,-0.01609419,-0.019289352,-0.024045706,-0.023253336,-0.019664427,-0.016785517,-0.026504258,,-0.022754505,-0.014641171,-0.026685472,,-0.015212924,-0.025638187,0.129998781,,-0.014119609,-0.015746545,,-0.025338057,-0.005786526,-0.017248771,,,-0.014974,-0.019452896
