,Landcover,Class,20140101_20140331,20140401_20140630,20140701_20140930,20141001_20141231,20150101_20150331,20150401_20150630,20150701_20150930,20151001_20151231,20160101_20160331,20160401_20160630,20160701_20160930,20161001_20161231,20170101_20170331,20170401_20170630,20170701_20170930,20171001_20171231,20180101_20180331,20180401_20180630,20180701_20180930,20181001_20181231,20190101_20190331,20190401_20190630,20190701_20190930,20191001_20191231,20200101_20200331,20200401_20200630,20200701_20200930,20201001_20201231,20210101_20210331,20210401_20210630,20210701_20210930,20211001_20211231,20220101_20220331,20220401_20220630,20220701_20220930,20221001_20221231,20230101_20230331,20230401_20230630,20230701_20230930
0,Hutan,1,,0.28441909,0.269433976,0.275615754,0.32729895,0.267169767,0.182186924,0.172489694,0.329973309,0.290987122,0.310043477,0.331163843,0.316781947,0.311326172,0.302557138,0.314535246,,0.316703843,0.239552892,0.208388909,,0.334292021,0.293827806,0.291884256,0.34053665,0.331216266,0.289387186,0.336130256,,0.288473771,0.318004964,0.326420047,0.336274427,,0.2719694,0.347887152,,0.283894167,0.296430248
1,Hutan,1,0.228307488,0.278222579,0.307041644,0.258450117,0.13885567,0.272575832,0.225158363,0.203694586,0.355008459,0.270548456,0.161455601,,0.27663741,0.239000851,0.251330617,0.308414798,,0.302476028,0.236070024,0.208553061,,0.283577963,0.259743687,0.147245116,,0.282104125,0.283352104,0.143953794,,0.266278778,0.296617335,0.221493363,0.308144558,,0.266109805,,,0.258220687,0.266129363
2,Hutan,1,0.22438671,0.158592527,0.208392529,0.25364014,0.252014857,0.171146462,0.193284914,0.196470856,0.266486315,,0.180760832,,0.240642349,0.15562855,0.181258351,0.284132529,0.250547516,0.191897291,0.18469612,0.246268058,,0.198272389,0.149263152,0.186188211,0.204157086,0.14527012,0.187865583,0.28404572,,0.179373219,0.17139555,0.283038551,0.245093966,,0.18206031,,,0.187263503,0.192568258
3,Hutan,1,0.379605704,0.320704403,0.317405486,0.277378512,0.286922611,0.323577588,0.223027395,0.213293566,0.309396396,0.318593561,0.323815086,,0.341495849,0.306138518,0.230297137,0.229668772,,0.2578968,0.222030083,0.209723365,,0.279545023,0.254765736,0.233731742,,0.301995829,0.307572717,0.284643575,,0.330410284,0.276585672,0.291338848,0.335827563,0.191157808,0.273085139,0.163884276,0.186740296,0.283600259,0.236201912
4,Hutan,1,,0.298421934,0.264422387,0.245240051,0.161514324,0.272934338,0.21964905,0.200601835,0.329442386,0.287074411,0.306801844,,0.313559499,0.204578599,0.269777225,0.222440116,,0.273094727,0.267898467,0.265263251,,0.287144106,0.235460027,0.231155736,0.235347183,0.27251524,0.263992801,0.315138191,,0.28903112,0.30311601,0.143187232,0.346085398,,0.278507153,,0.289361481,0.338645051,0.28194475
5,Hutan,1,0.248077858,0.225972679,0.204226844,0.240953794,0.107749853,0.208270794,0.228509291,0.22903726,0.253351119,0.24422613,0.248004784,,0.238026579,0.231731714,0.236730077,,,0.223841469,0.216103748,0.246529316,,0.218439957,0.216110894,0.238821077,,0.217072762,0.211957514,0.1005519,,0.214742272,0.240267981,,0.271530332,0.211757169,0.239184867,,,0.255666875,0.214044427
6,Hutan,1,0.231184206,0.209019947,0.205731611,,0.309122882,0.231765813,0.218347711,0.216279512,0.251199399,0.208938317,0.217110078,,0.238268584,0.231069928,0.229213758,,0.261002659,0.209932528,0.212777707,0.256238401,,0.162154122,0.172263949,0.191681017,,0.246063188,0.223659472,0.120417641,,0.247124156,0.220071433,,0.313344386,0.179241198,0.245661538,,,0.255357982,0.218939235
7,Hutan,1,0.227006985,0.278952523,0.271668127,,0.208136987,0.252571889,0.233854235,0.205996929,0.255712183,0.221936395,0.248767345,,0.264601262,0.250280694,0.24191425,,,0.263604821,0.230255495,0.231308387,,0.255319734,0.208961318,0.173965567,,0.240444893,0.245377376,0.039848914,,0.245012434,0.23537774,,0.363136351,0.296196702,0.250584697,,,0.257030929,0.248554124
8,Hutan,1,0.195697029,0.176222974,0.179046554,0.194430141,0.129498099,0.155101632,0.181652002,0.187038738,0.210495511,0.16520947,0.178729417,,0.168446116,0.178699635,0.18342638,0.189880513,0.191664674,0.160129552,0.16486363,0.183449861,,0.158417144,0.152782613,0.188940145,,0.153438586,0.15703692,0.150676768,,0.166173881,0.165277991,,0.215797455,0.188874949,0.155851883,,,0.171285084,0.181001882
9,Hutan,1,0.230221551,0.208697885,0.203033021,0.326523494,0.151911842,0.186709853,0.181134008,0.199536423,0.261412893,0.222118834,0.208722899,,0.203028983,0.226101238,0.201549037,0.231769595,0.247775452,0.205853582,0.184583114,0.195705125,,0.190108887,0.157221418,0.188969767,,0.20761457,0.179248054,0.095653602,,0.20244875,0.193981338,,0.269207,0.181867855,0.177852858,,,0.207384093,0.191735656
10,Hutan,1,0.164593988,0.208685949,0.199297208,0.187462176,0.11348452,0.1949446,0.196627976,0.191943739,,0.204377284,0.195424611,,0.183951404,0.217311344,0.208206152,0.196341778,0.183791229,0.208080834,0.199538942,0.182365982,,0.196080875,0.181984502,0.176201064,,0.209334436,0.206610395,0.115038568,,0.215695148,0.20642546,,0.222102692,,0.198143409,,,0.222411683,0.199800054
11,Hutan,1,,0.171136926,0.173791464,0.200193805,0.129350416,0.163513013,0.196920936,0.193400516,0.175633725,0.110429771,0.16538648,0.174757135,0.162454773,0.17926142,0.165797118,0.164111024,,0.157439294,0.176824882,0.175813279,,0.172556807,0.14946726,0.191972912,,0.170528107,0.162333761,0.1152197,,0.181720953,0.170896198,,,,0.166053426,,,0.202037756,0.181789382
12,Hutan,1,,0.221262843,0.217431342,0.178971295,0.128006443,0.231615165,0.216596583,0.181635767,0.222827484,,0.203394293,,0.224233992,0.229432007,0.238770251,0.258182084,,0.230157932,0.225986797,0.200255239,,0.217656289,0.206216553,0.191068803,,0.231078363,0.22493752,0.217929893,0.192053665,0.233383172,0.238761158,,0.24653022,,0.219440509,,,0.240823616,0.215388035
13,Hutan,1,0.136682401,0.221322682,0.165050207,,0.162273919,0.226065242,0.189981318,0.098769305,0.141517731,,0.176175691,,0.140683269,0.066676767,0.211370491,0.183765876,,0.206227843,0.184226986,0.129133321,,0.198316802,0.179978678,0.141904993,,0.218137487,0.192685958,0.162259268,,0.205742067,0.192935557,,0.22964683,,0.192452156,,,0.238196869,0.167367801
14,Hutan,1,,0.171091186,0.151484575,,0.149521398,0.177711664,0.155999989,0.165598244,0.139404986,0.184914134,0.137738924,0.168069575,0.157536188,0.177587665,0.17605875,0.193821526,,0.172175153,0.151491216,0.172325743,,0.151723858,0.146168246,0.164414746,,0.148345286,0.1645203,0.182556886,,0.167450188,0.139595978,,0.238662952,,0.157285652,,,0.175327138,0.149318043
15,Hutan,1,,0.256289097,0.254349698,0.246272393,0.086007319,0.226385096,,0.200803752,,0.287023453,0.214294531,0.184988755,0.166710511,0.252096215,0.246811421,0.258689116,0.21234717,0.229810301,0.208200526,0.224814663,,0.226576288,0.219112797,0.219302837,,0.229283394,0.250505193,0.169357701,0.231108103,0.247033633,0.220556869,,,,0.214147249,,,0.210640948,0.20494055
16,Hutan,1,,0.285905844,0.263705432,0.287960682,0.136620442,0.272706099,0.280901049,0.253148049,0.298714059,0.300802891,0.22244868,0.245993179,,0.251130785,0.26830153,0.289404879,0.248695029,0.289563908,0.239545952,0.257128824,,0.239919196,0.24890586,0.260157993,,0.259613093,0.278724021,0.28086907,0.258315371,0.272148531,0.266182957,,,,0.251557933,,,0.260647988,0.238633114
17,Hutan,1,,0.319749377,0.234597427,,0.234343755,0.302386522,0.199399106,0.164386374,0.260260712,,0.26396852,0.246116324,0.25388276,0.31504993,0.297661526,0.218908178,0.24777284,0.294709921,0.22744396,0.206813384,,0.285737302,0.242127974,0.204949684,,0.291435076,0.295479421,0.225540393,0.217709738,0.28787798,0.272576646,,,,0.274987416,,,0.324506071,0.221443335
18,Hutan,1,,0.267838943,0.270544569,0.234778645,0.164868503,0.265135046,0.217161706,0.19798158,0.335260017,,0.281078894,0.291159052,0.292449048,0.271211528,0.266988377,0.128137778,0.237674886,0.265313019,0.23251148,0.250201289,,0.207067608,0.227677564,0.202497479,,0.257717373,0.2729584,0.305115133,0.230289797,0.233160734,0.237884933,,,0.259820563,0.235349593,,,0.268379073,0.23885494
19,Hutan,1,,0.307094344,0.237830885,,0.117801672,0.293143854,,0.189485014,0.226964931,,0.238129985,0.214505985,0.256595714,0.284341015,0.245546803,0.160729662,0.197993559,0.258292794,0.255570594,0.206321841,,0.248257597,0.23358043,0.217466076,,0.258656461,0.252555993,0.218766583,0.164773468,0.242525592,0.254432953,,,,0.252587964,,,0.269815216,0.23951819
20,Hutan,1,,0.304141927,0.298136876,0.245315611,0.202025684,0.313913221,0.255844521,0.213520096,0.25065764,,0.263178723,0.260852375,0.265518771,0.304267156,0.300335291,0.28155677,0.248298546,0.285937869,0.263050887,0.242178853,,0.270625457,0.276782524,0.235360731,,0.307405339,0.292279226,0.290647718,0.242014238,0.289831719,0.281306053,,,,0.278811588,,,0.280711919,0.276321086
21,Hutan,1,,0.254325758,0.231613126,,0.164625354,0.214344199,0.224680057,0.230809128,0.256049305,,0.242717716,0.196206777,0.232314227,0.23589442,0.253622867,0.268624006,0.214008211,0.236898116,0.22304064,0.223273558,,0.207896487,0.228004442,0.228233213,,0.208348909,0.248976699,0.247944231,0.204224057,0.237389981,0.233242038,,,,0.221377305,,,0.230879607,0.213460701
22,Hutan,1,,0.202799606,0.184954546,,0.012967259,0.197081966,,0.179029019,0.187032369,,0.183929355,0.192071895,0.198411983,0.20910936,0.194702654,0.209257206,,0.196453999,0.198597376,0.191158351,,0.266249453,0.221079192,0.203713067,,0.259739163,0.298962701,0.1730384,,0.256511299,0.252683129,,,,0.254597562,,,0.239234253,0.236925172
23,Hutan,1,,0.283624622,0.250750023,,0.091161084,0.296220514,0.260120355,0.206662357,0.19282312,,0.282243283,0.260115824,0.258556815,0.299533315,0.269027736,0.262287949,,0.296838826,0.257318765,0.221431352,,0.274330205,0.268669332,0.216444412,,0.296223578,0.295665498,0.249459218,0.208265447,0.297543361,0.293639182,,,,0.286150908,,,0.318450957,0.274356268
24,Hutan,1,,0.240643135,0.244971408,0.225205894,0.10145605,0.262524491,0.201101049,0.202150752,,0.228698883,0.207489401,,0.21672574,0.200922003,0.222843804,0.236038707,,0.214474058,0.211121873,0.207224836,,0.176894971,0.196111751,0.190235603,,0.197678774,0.17986928,0.201026979,,0.207750471,0.217166391,,,,0.224591018,,,0.215207188,0.203021316
25,Hutan,1,,0.188903264,0.229728973,0.242264801,0.035505256,0.176249344,0.169787248,0.212729894,0.236043949,0.219274179,0.193969584,0.241451045,0.208364002,0.160103606,0.180858424,0.24196492,0.189767291,0.20131638,0.178403206,0.222640014,,0.196513658,0.17660336,0.208966573,,0.187662727,0.187835773,0.248387559,,0.181296263,0.195956625,0.138105322,0.253611453,,0.18020391,,0.243548847,0.201871064,0.171005294
26,Hutan,1,,0.283803182,0.292519489,0.249904656,0.149346558,0.267362477,0.227643794,0.198364611,0.273033446,0.259283421,0.255627676,0.248855344,0.245040217,0.274670052,0.253876621,0.249207273,0.210277777,0.264258255,0.25098079,0.23433631,,0.246486812,0.243939896,0.20599333,,0.245073653,0.264805015,0.262982462,,0.248647156,0.27744723,0.3166049,,,0.259798154,,0.286104885,0.271306814,0.233585969
27,Hutan,1,,0.21804777,0.192900947,0.194337518,0.05507261,0.136929923,0.146497249,0.17219008,,0.141828545,0.143469321,0.198358707,0.145030491,0.182949767,0.175615013,0.17754868,,0.133686203,0.154090002,0.166362072,,0.135230327,0.129459198,0.159154237,,0.156365504,0.130820629,0.17759847,,0.135302972,0.171897326,,,,0.13038639,,0.143563572,0.149827777,0.131794167
28,Hutan,1,,0.238815242,0.244256571,,0.07151923,0.211827694,0.221289462,0.223286495,0.247814953,,0.239361055,0.260676288,0.197364712,0.254423818,0.245054331,0.25165072,,0.246522966,0.219855489,0.226616675,,0.213052125,0.212091879,0.214919328,,0.212847729,0.23178992,0.199427165,,0.209455946,0.220765596,,,,0.239493087,,,0.228212636,0.217334565
29,Hutan,1,,0.206040655,0.217708538,0.253810507,0.042705078,0.189079866,0.215201519,0.23275977,,0.204540844,,0.278822867,0.256957559,0.184293814,0.213283595,0.282495993,,0.208316755,0.193050869,0.257557037,,0.181994795,0.210404135,0.214062659,,0.227280721,0.192280302,0.165061133,,0.215773794,0.242424998,,0.252473898,,0.21215054,,,0.21174623,0.212173644
30,Hutan,1,,0.248846833,0.181224291,0.203796981,0.182191976,0.228698364,0.254765569,0.17875813,0.208352814,,0.188455157,0.221546962,,0.23875292,0.220936118,0.239700173,0.189762073,0.208419165,0.205478506,0.180876017,,0.193706885,0.192406148,0.18878839,,0.221548161,0.208099354,0.210502694,0.193843837,0.219408671,0.207513865,,,,0.21269161,,,0.240349655,0.195686438
31,Hutan,1,0.163735786,0.177014636,0.188112375,,-0.006610869,0.168895359,0.170148125,,,,,,,0.062698165,0.197774986,,0.187376606,0.163812033,0.164431745,0.193514985,,0.197390755,0.187160854,0.215315382,,0.162921375,0.16804771,0.041377895,,0.193492067,0.161413254,,,,0.156381334,,,0.186133882,0.194651192
32,Hutan,1,0.168946414,0.225902732,0.206332499,,-0.000340804,0.236679155,0.223494688,,,,0.205959538,,,0.069544344,0.20501172,,0.192788014,0.249341659,0.22412269,0.193135128,,0.23501122,0.210640319,0.17099427,,,0.223835923,0.031164947,,0.24226994,0.216531439,,,,0.23772069,,,0.242657917,0.235818821
33,Hutan,1,0.175715575,0.23486812,0.208810195,,-0.00997071,0.254917259,0.230169178,,0.178917233,,0.236788159,,,0.072480233,0.232411019,0.201238366,0.203569064,0.246519932,0.224368178,0.207856891,,0.214509433,0.222349783,0.192037963,,0.228614593,0.239226127,0.036236921,0.216877386,0.254383899,0.233483513,,,,0.240010019,,,0.275132843,0.241243381
34,Hutan,1,0.195245048,0.19157261,0.190458009,0.231210623,0.071157848,0.167892465,0.192839696,0.197155597,0.211793474,0.182409394,0.180050898,,0.179813212,0.179489469,0.190013645,0.220170323,0.20102277,0.173368642,0.167869941,0.199253176,,0.15499408,0.163316248,0.174573546,0.206622692,0.169705596,0.179642764,0.005363361,,0.163595152,0.16540632,0.191188717,0.195122673,,0.168783004,,0.224078994,0.182512648,0.179432
35,Hutan,1,0.198235069,0.238471007,0.212223447,,-0.000982773,0.234965274,0.235377043,,0.203033746,0.211695776,0.213334473,,0.191296404,0.241469968,0.203399379,,,0.238248727,0.223608038,0.214523392,,0.220201048,0.232101643,0.215952853,,0.237912839,0.223754025,0.099942886,,0.243071684,0.224469546,,0.205862333,,0.214250241,,,,0.246480557
36,Hutan,1,0.198511447,0.254832492,0.231069913,,-0.007761613,0.262124519,0.255185213,,0.198506292,0.244258406,0.242739977,,,0.073326574,0.22860834,,0.224050242,0.245708535,0.23301651,0.230432542,,0.246750034,0.234732957,0.20228113,,0.237610941,0.261854002,0.037582862,,0.241531372,0.246108668,,0.200171415,,0.223997907,,,0.279072055,0.264042267
