,Landcover,Class,20140101_20140331,20140401_20140630,20140701_20140930,20141001_20141231,20150101_20150331,20150401_20150630,20150701_20150930,20151001_20151231,20160101_20160331,20160401_20160630,20160701_20160930,20161001_20161231,20170101_20170331,20170401_20170630,20170701_20170930,20171001_20171231,20180101_20180331,20180401_20180630,20180701_20180930,20181001_20181231,20190101_20190331,20190401_20190630,20190701_20190930,20191001_20191231,20200101_20200331,20200401_20200630,20200701_20200930,20201001_20201231,20210101_20210331,20210401_20210630,20210701_20210930,20211001_20211231,20220101_20220331,20220401_20220630,20220701_20220930,20221001_20221231,20230101_20230331,20230401_20230630,20230701_20230930
0,Hutan,1,,0.237100717,0.212394439,0.217481881,0.264724102,0.214034048,0.125612854,0.10723037,0.265081222,0.244265028,0.253768345,0.261134882,0.254742176,0.257347651,0.246239818,0.249511163,,0.259264085,0.181286136,0.146273199,,0.265793057,0.233316916,0.221680674,0.26578613,0.265947257,0.220224186,0.262959536,,0.24468611,0.254622721,0.261970557,0.27098666,,0.229756362,0.281942214,,0.233206515,0.244394185
1,Hutan,1,0.197673331,0.226373834,0.247268088,0.195380013,0.226535307,0.217939452,0.164217714,0.144711099,0.279414626,0.211625944,0.097063539,,0.214538313,0.164742764,0.187525034,0.248314912,,0.246625812,0.174536175,0.147270609,,0.223986181,0.208516109,0.069222009,,0.219769672,0.208794963,0.288722939,,0.209186435,0.236474029,0.178699997,0.241661256,,0.208101923,,,0.205268675,0.206127065
2,Hutan,1,0.19082352,0.14279763,0.180162627,0.180873348,0.209722344,0.154297035,0.160457917,0.145369054,0.218144326,,0.154834888,,0.199773635,0.138389823,0.150739916,0.228010165,0.211062284,0.165657337,0.153380729,0.193771429,,0.175912165,0.119335745,0.14085044,0.168132604,0.128062026,0.150789277,0.223512882,,0.15746957,0.143568233,0.227780191,0.212856846,,0.163080943,,,0.161365777,0.165093142
3,Hutan,1,0.293562258,0.252539138,0.243307181,0.210025825,0.230388706,0.254022817,0.144336235,0.143879406,0.237722469,0.249420286,0.244805428,,0.263984064,0.237949698,0.156205055,0.168570526,,0.20026457,0.141241897,0.13678978,,0.22445296,0.19000654,0.17533814,,0.232850556,0.238436299,0.233461641,,0.258570877,0.221976518,0.225266483,0.261980349,0.155088907,0.217730542,0.144969629,0.171979313,0.234492201,0.172161473
4,Hutan,1,,0.239691834,0.212025394,0.176403337,0.146558981,0.222119933,0.161563791,0.151608995,0.259016753,0.231615653,0.248271506,,0.241948799,0.167611643,0.21877859,0.187416991,,0.208584133,0.203612003,0.202164846,,0.228537302,0.183309884,0.166817466,0.191294143,0.216037572,0.205609437,0.25192869,,0.234953274,0.241519401,0.155873507,0.270450394,,0.22237723,,0.237074963,0.275004853,0.22425265
5,Hutan,1,0.208410516,0.193663983,0.174363902,0.205602054,0.207616753,0.180948359,0.188521857,0.190919403,0.216752547,0.168056445,0.211018641,,0.198273562,0.200283074,0.200681367,,,0.191764345,0.190045926,0.207959673,,0.185175539,0.187842446,0.193424379,,0.184076889,0.174524048,0.201720083,,0.18447503,0.20384284,,0.226564324,0.189418033,0.192029234,,,0.215986385,0.183703297
6,Hutan,1,0.194255835,0.177581511,0.16962131,,0.23861948,0.194899342,0.18747908,0.177809115,0.219291136,0.179321343,0.184360228,,0.190430357,0.193587229,0.191853071,,0.209564559,0.184002181,0.181776166,0.205835786,,0.144149269,0.14498095,0.138793921,,0.205469877,0.178312368,0.215971578,,0.206585419,0.182207319,,0.252131734,0.143074102,0.198680671,,,0.213964035,0.177370534
7,Hutan,1,0.184910864,0.229222033,0.217077834,,0.175100257,0.201418522,0.174548514,0.154054773,0.201397147,0.181309009,0.195880295,,0.20494837,0.205501532,0.189801804,,,0.206503884,0.189198245,0.181400353,,0.204070838,0.162432358,0.129030815,,0.194021202,0.195084421,0.272793722,,0.206128259,0.189991001,,0.276377642,0.222619761,0.191286578,,,0.208981244,0.190527918
8,Hutan,1,0.172132717,0.160344815,0.162498014,0.168887361,0.196305547,0.143319131,0.158675794,0.161862864,0.188724386,0.149310149,0.158482127,,0.150846226,0.146889843,0.166414141,0.165765449,0.171285894,0.145511489,0.149148361,0.157597756,,0.140866583,0.138077166,0.163530166,,0.139129396,0.143025546,0.195250888,,0.151365257,0.150321885,,0.189824823,0.163309795,0.142254879,,,0.155997099,0.159012157
9,Hutan,1,0.184875981,0.179728044,0.16620764,0.151475559,0.194353031,0.161333298,0.145402269,0.156966865,0.211815328,0.186501393,0.171964142,,0.166745042,0.191063818,0.170065491,0.184880809,0.200888938,0.171957498,0.152339538,0.154861594,,0.156611633,0.135012068,0.147748573,,0.170705615,0.146015574,0.195597173,,0.173470251,0.166441885,,0.216986833,0.155808248,0.151189227,,,0.17539327,0.15928282
