,Landcover,Class,20140101_20140331,20140401_20140630,20140701_20140930,20141001_20141231,20150101_20150331,20150401_20150630,20150701_20150930,20151001_20151231,20160101_20160331,20160401_20160630,20160701_20160930,20161001_20161231,20170101_20170331,20170401_20170630,20170701_20170930,20171001_20171231,20180101_20180331,20180401_20180630,20180701_20180930,20181001_20181231,20190101_20190331,20190401_20190630,20190701_20190930,20191001_20191231,20200101_20200331,20200401_20200630,20200701_20200930,20201001_20201231,20210101_20210331,20210401_20210630,20210701_20210930,20211001_20211231,20220101_20220331,20220401_20220630,20220701_20220930,20221001_20221231,20230101_20230331,20230401_20230630,20230701_20230930
0,Hutan,1,,0.267533336,0.25306976,0.255303491,0.301194098,0.252879914,0.175770759,0.164325387,0.302877503,0.273946043,0.288888426,0.302128275,0.294466213,0.29126514,0.282784197,0.289231602,,0.295891984,0.225337989,0.195981367,,0.307285859,0.273614501,0.269530693,0.313502289,0.305986166,0.271719914,0.308864756,,0.270690892,0.295302165,0.299624864,0.312428952,,0.258285085,0.318736978,,0.265425071,0.277356965
1,Hutan,1,0.221434589,0.259862407,0.287086069,0.243676235,0.108445411,0.257536752,0.216308443,0.194140357,0.324729996,0.256296381,0.157507962,,0.258352913,0.22609819,0.236237295,0.284423059,,0.283481377,0.224738308,0.200052649,,0.266103607,0.246616777,0.141796964,,0.26309929,0.26517507,0.114882285,,0.251880199,0.278427215,0.196632326,0.285933016,,0.251553775,,,0.246150542,0.251492695
2,Hutan,1,0.213461282,0.158109873,0.201353935,0.241392616,0.223603131,0.169332412,0.187578066,0.186606522,0.252576789,,0.177394268,,0.229058246,0.155622049,0.177802278,0.263527064,0.237635281,0.188628565,0.180245103,0.232543364,,0.19326871,0.147391408,0.180165561,0.195847031,0.144173077,0.18194739,0.263821375,,0.176830376,0.169583233,0.264101983,0.232394707,,0.179192425,,,0.185460986,0.188294857
3,Hutan,1,0.344302384,0.294682408,0.294541686,0.258618376,0.267960908,0.298483063,0.212218885,0.202075459,0.286520564,0.294450023,0.300066683,,0.314574121,0.284576004,0.217300496,0.209994137,,0.239703332,0.207167451,0.196903679,,0.258811549,0.237610711,0.219788667,,0.276200398,0.28519938,0.26327982,,0.303263845,0.256575095,0.267000739,0.306492969,0.184401686,0.251861327,0.160282858,0.18350562,0.263211481,0.221370782
4,Hutan,1,,0.278993856,0.251514987,0.230859916,0.1502161,0.258546315,0.212190262,0.192192485,0.304448495,0.270407428,0.285989905,,0.293231913,0.189153922,0.253779064,0.204080929,,0.257399924,0.251231506,0.248699036,,0.271690367,0.225025866,0.217938238,0.224673706,0.256685593,0.250441384,0.291772358,,0.271587526,0.284439033,0.122355704,0.318148809,,0.261839935,,0.271652125,0.312686974,0.266294138
5,Hutan,1,0.2359812,0.218265034,0.199772763,0.230259926,0.084892874,0.202764083,0.221150062,0.220024014,0.243028015,0.227853926,0.237490664,,0.22855207,0.224543475,0.22724236,,,0.218374201,0.210054961,0.235232239,,0.213040345,0.210123795,0.227052038,,0.21030336,0.206384954,0.080110858,,0.209825459,0.231263056,,0.258655271,0.204028332,0.226981394,,,0.243435218,0.208080818
6,Hutan,1,0.22231162,0.203358568,0.200427559,,0.28301565,0.223120494,0.211574338,0.20840661,0.240291862,0.20456088,0.211505361,,0.228714971,0.224058584,0.220297002,,0.246761453,0.206018552,0.206399687,0.242002679,,0.163241595,0.170629146,0.184125284,,0.235943168,0.214886725,0.099206937,,0.237031959,0.213994247,,0.292207576,0.179897927,0.234050365,,,0.243703839,0.212104817
7,Hutan,1,0.20739365,0.262991344,0.256753965,,0.183069595,0.240243396,0.224367698,0.1973107,0.242627661,0.214862375,0.237398759,,0.248307979,0.239216486,0.230959759,,,0.251266334,0.220751186,0.220527105,,0.242266436,0.202069015,0.168120047,,0.230954963,0.235798138,0.029525141,,0.234600445,0.227342656,,0.330119909,0.259672093,0.236248871,,,0.243158148,0.236662654
8,Hutan,1,0.191292087,0.175842139,0.17830356,0.190906082,0.106624661,0.156573441,0.17928165,0.184217393,0.205793524,0.165732296,0.177347642,,0.166557351,0.169570653,0.181787776,0.18606628,0.188778246,0.161491585,0.165700592,0.180754358,,0.159026823,0.154202461,0.185301886,,0.155637369,0.158562303,0.128634586,,0.166581627,0.165963856,,0.21089303,0.185269754,0.156681841,,,0.169755832,0.179801075
9,Hutan,1,0.220799692,0.204651469,0.198437063,0.320087209,0.126482763,0.184541016,0.178904085,0.193655462,0.249442092,0.216326204,0.203847197,,0.198252862,0.219746832,0.198598775,0.223179729,0.237396503,0.202744046,0.181560653,0.190692414,,0.188708055,0.157016717,0.184125802,,0.202796076,0.179115355,0.074444975,,0.198924899,0.19171209,,0.256487567,0.178863512,0.176352543,,,0.202022401,0.188861506
10,Hutan,1,0.162608789,0.204591089,0.195496773,0.184650366,0.091690449,0.192146188,0.193069473,0.188402393,,0.200181196,0.191978784,,0.180052096,0.211857076,0.204090454,0.192581224,0.18157026,0.203854318,0.195473862,0.179553789,,0.193323536,0.179808284,0.173220426,,0.204320194,0.202120945,0.091152467,,0.210140954,0.202227681,,0.213967387,,0.194369729,,,0.215659679,0.195755972
11,Hutan,1,,0.172063277,0.173625716,0.195442175,0.107854925,0.164620231,0.195439363,0.18951842,0.175276718,0.114852823,0.164795642,0.168466006,0.163374606,0.179004869,0.167032565,0.163352726,,0.159003308,0.175620806,0.173904504,,0.173090452,0.151693006,0.188392083,,0.169294051,0.16415219,0.092047315,,0.181096463,0.171851946,,,,0.166475604,,,0.199145961,0.181175764
