Class,Lat,Lon,2013_0106,2013_0609,2013_0912,2014_0103,2014_0306,2014_0609,2014_0912,2015_0103,2015_0306,2015_0609,2015_0912,2016_0103,2016_0306,2016_0609,2016_0912,2017_0103,2017_0306,2017_0609,2017_0912,2018_0103,2018_0306,2018_0609,2018_0912,2019_0103,2019_0306,2019_0609,2019_0912,2020_0103,2020_0306,2020_0609,2020_0912,2021_0103,2021_0306,2021_0609,2021_0912,2022_0103,2022_0306,2022_0609
1,9182122.13,382814.21,-0.44443,-0.39417,-0.41464,-0.26637,-0.47555,-0.46482,-0.39239,-0.42906,-0.43765,-0.40737,-0.39694,-0.38365,-0.34648,nan,-0.37362,0.15267,-0.44704,-0.38491,-0.43268,-0.3889,-0.36142,-0.36219,nan,-0.42099,-0.43442,-0.35566,-0.33811,-0.39317,-0.39317,-0.359,nan,-0.40499,-0.40512,-0.40184,-0.27826,-0.38296,-0.38802,-0.38322
1,9190139.985,381408.1837,-0.38101,-0.38074,-0.36104,-0.29849,nan,-0.40309,-0.41778,-0.42822,-0.46466,-0.46111,-0.44238,nan,-0.47021,-0.43052,nan,-0.1676,-0.44489,-0.45894,nan,-0.43361,-0.41831,-0.44394,nan,-0.41442,-0.49589,-0.44836,-0.43887,-0.46151,-0.46151,nan,-0.4257,nan,nan,-0.45385,nan,-0.40142,-0.4397,-0.44556
1,9190353.745,381047.9215,-0.18316,-0.20511,-0.27594,-0.12678,-0.09318,-0.19285,-0.17329,-0.21271,-0.19526,-0.26238,-0.24236,-0.17441,-0.10037,nan,nan,0.10841,-0.18032,-0.19112,nan,-0.15515,-0.18862,-0.18718,-0.14961,-0.14612,-0.24903,-0.28994,-0.28684,-0.25979,-0.25979,-0.25472,-0.2187,nan,nan,-0.26729,nan,-0.12341,-0.25218,-0.16296
1,9190252.362,379984.1585,-0.3205,-0.2939,-0.2275,-0.25627,-0.25174,-0.31678,-0.27356,-0.32725,-0.34051,-0.28415,-0.28455,-0.28004,-0.37547,-0.34735,-0.30067,0.10858,-0.33006,-0.29793,-0.31293,nan,-0.30604,-0.3157,-0.32029,-0.37272,-0.34525,-0.34705,-0.35239,-0.34538,-0.34538,-0.235,nan,nan,nan,-0.3143,nan,-0.29508,-0.25036,-0.18049
1,9178300.707,379607.0059,-0.33868,-0.35216,-0.36097,-0.3194,-0.29657,-0.37025,-0.34663,-0.32192,-0.35989,-0.34879,-0.3349,-0.36246,-0.14599,-0.33167,nan,0.06392,-0.34156,-0.32861,nan,-0.31853,-0.35366,-0.32366,nan,-0.29734,-0.35034,-0.32869,-0.2899,-0.30884,-0.30884,-0.31479,-0.36056,-0.28154,-0.358,-0.36575,-0.27806,-0.30932,-0.32338,-0.37909
1,9187285.721,384633.4577,-0.26765,-0.25874,-0.22603,-0.15334,-0.29994,-0.27704,-0.25088,-0.29189,-0.29019,-0.2589,-0.25999,nan,-0.24828,-0.31614,-0.18824,0.11452,-0.33741,-0.29114,nan,nan,-0.30118,-0.29994,-0.28659,-0.29192,-0.29012,-0.27798,-0.28419,-0.28455,-0.28455,-0.28443,-0.19551,nan,nan,-0.26086,nan,-0.23442,nan,-0.23171
1,9188336.595,372360.4325,-0.42025,-0.32555,-0.39722,-0.29393,-0.30774,-0.38414,-0.33374,-0.36834,-0.33642,-0.35314,-0.30511,-0.36143,-0.28128,-0.35483,-0.28872,0.06024,-0.34367,-0.34629,nan,-0.28425,-0.32102,-0.28881,-0.24314,-0.32583,-0.3245,-0.30603,-0.30768,-0.3257,-0.3257,nan,-0.25717,nan,nan,-0.33358,nan,-0.33146,-0.36224,-0.33169
1,9177868.32,391070.0706,-0.313,-0.35676,-0.32042,-0.42116,-0.39785,-0.40827,-0.39764,-0.36285,-0.41101,-0.29547,-0.31541,nan,nan,nan,-0.2262,-0.02555,-0.36909,-0.26148,nan,-0.24793,-0.29669,-0.34449,-0.29007,-0.30435,-0.31609,-0.37523,-0.32602,-0.34871,-0.34871,-0.35326,-0.30631,-0.28197,-0.30314,-0.33086,-0.29877,-0.30693,-0.31708,-0.3558
1,9176158.531,389910.3574,-0.4003,-0.37994,-0.35751,-0.44238,-0.40192,-0.37092,-0.3425,-0.37672,-0.35859,-0.28156,-0.23502,0.0666,nan,nan,nan,-0.34632,-0.4047,-0.3929,-0.40375,-0.33224,-0.37331,-0.39135,-0.35914,-0.34339,-0.39428,-0.40455,-0.35027,-0.37341,-0.37341,-0.36052,-0.30383,-0.28241,-0.31195,-0.32053,-0.22391,-0.34233,nan,-0.39388
1,9185200.046,384265.2543,-0.15399,-0.22823,-0.22101,-0.10822,-0.1757,-0.14453,-0.16098,-0.2008,-0.23761,-0.19086,-0.1457,-0.02083,nan,nan,-0.15613,0.19646,-0.18815,-0.11441,nan,-0.07516,-0.17186,-0.14319,nan,-0.14614,-0.13338,-0.17808,-0.17808,-0.19913,-0.19913,-0.17469,nan,-0.12216,nan,-0.16535,nan,-0.13979,-0.43789,-0.15908
1,9171953.417,375109.5267,-0.19519,-0.41609,-0.36976,-0.37447,-0.35896,-0.38085,-0.38632,-0.39209,-0.38351,-0.38152,-0.38156,-0.40766,-0.40577,-0.34158,nan,0.14687,-0.42295,-0.3926,nan,-0.41251,-0.40526,-0.40133,nan,-0.41614,-0.3949,-0.40484,-0.40484,-0.40596,-0.40596,-0.44189,-0.3411,-0.37025,-0.40774,-0.44773,-0.36176,-0.41603,-0.43222,-0.39911
1,9166814.337,389815.3948,-0.37862,-0.3606,-0.29641,-0.23102,-0.24015,-0.28938,-0.3407,-0.26446,-0.26499,-0.31922,-0.33381,-0.29786,-0.15592,-0.38328,nan,-0.13348,-0.38292,-0.34337,-0.36081,-0.33205,-0.34013,-0.37076,-0.20963,-0.29115,-0.27964,-0.33681,-0.31812,-0.33974,-0.33974,-0.16811,-0.29432,-0.13116,-0.30505,-0.3353,-0.29072,-0.25615,0.07609,-0.3635
1,9166066.383,390375.1977,-0.44118,-0.40767,-0.34686,-0.05856,-0.2808,-0.29217,-0.35466,-0.26356,-0.28292,-0.3185,-0.37739,-0.31637,-0.1844,-0.29803,nan,-0.16258,-0.41497,-0.41796,-0.39252,-0.42517,-0.40344,-0.41664,-0.34047,-0.39568,-0.39723,-0.42777,-0.41449,-0.37552,-0.37552,-0.21625,-0.37342,-0.25731,-0.37941,-0.41029,-0.3562,-0.29968,-0.06161,-0.35461
1,9170913.101,389733.5191,-0.26923,-0.34209,-0.31858,-0.31723,-0.34887,-0.32453,-0.24563,-0.31647,-0.35768,-0.30726,-0.28991,-0.3619,-0.27636,-0.25598,nan,-0.03503,-0.42171,-0.34233,nan,-0.35515,-0.33444,-0.34589,-0.30161,nan,-0.38143,-0.33207,-0.27058,-0.31526,-0.31526,-0.07927,nan,-0.31882,-0.36389,-0.3279,-0.22062,-0.28474,-0.30249,-0.33448
1,9171337.623,389063.3571,-0.27863,-0.31895,-0.27462,-0.29529,-0.28394,-0.34156,-0.26854,-0.28235,-0.33772,-0.29578,-0.30722,-0.2531,-0.24705,-0.17358,-0.2441,-0.25707,-0.32677,-0.32499,-0.25879,-0.22593,-0.31876,-0.33395,nan,-0.32899,-0.3053,-0.30166,-0.24697,-0.30201,-0.30201,-0.33136,-0.32991,nan,-0.31083,-0.30908,-0.24251,-0.30539,nan,-0.30191
1,9183553.354,374964.3892,-0.3754,-0.38719,-0.36777,-0.2942,-0.39637,-0.37369,-0.33657,-0.39214,-0.30061,-0.37903,-0.33899,-0.34631,-0.33227,-0.30399,-0.29513,-0.36318,-0.33536,-0.30059,nan,-0.31414,-0.29571,-0.36845,nan,-0.34169,-0.31283,-0.35633,-0.36146,-0.35819,-0.35819,-0.35138,-0.3709,-0.30984,-0.32127,-0.34299,nan,-0.3275,-0.3277,-0.31293
1,9164885.088,369141.4716,-0.43761,-0.41825,-0.4594,-0.30905,-0.30725,-0.42996,-0.39056,-0.30609,-0.29363,-0.37427,-0.29413,-0.33135,-0.31923,-0.39836,nan,-0.06655,-0.35367,-0.38379,-0.4288,-0.32267,-0.37535,-0.36936,-0.38408,-0.40002,-0.37016,-0.39099,-0.38859,-0.33675,-0.33675,-0.41968,-0.39828,-0.40226,-0.40079,-0.38304,-0.36483,-0.43521,-0.37811,-0.37218
1,9193094.815,371993.998,-0.26516,-0.31884,-0.29944,-0.27156,-0.20996,-0.31391,-0.28557,-0.34409,-0.35666,-0.29336,-0.2929,-0.26171,-0.22636,nan,-0.23108,-0.28481,-0.31725,-0.28674,nan,-0.33004,-0.31334,-0.29539,nan,-0.33054,-0.37645,-0.31128,-0.31128,-0.37284,-0.37284,-0.39202,-0.33591,nan,-0.26167,-0.3054,nan,-0.32476,-0.36569,nan
1,9191346.432,379208.1186,-0.335,-0.28838,-0.32503,-0.24883,-0.17345,-0.33983,-0.28056,-0.38844,-0.31658,-0.29907,-0.26561,-0.28488,-0.28958,nan,-0.37619,-0.26122,-0.34518,-0.23474,-0.26724,-0.22549,-0.26731,-0.21367,-0.2234,-0.25193,-0.23939,-0.28325,-0.23167,-0.30006,-0.30006,-0.26205,-0.26474,nan,-0.2458,-0.26283,nan,-0.23044,nan,-0.1766
1,9192098.783,380065.903,-0.22327,-0.22934,-0.23187,-0.17291,-0.17964,-0.27474,-0.15089,-0.18165,-0.21543,-0.22976,-0.24195,-0.17533,-0.156,-0.17355,-0.15674,0.11925,-0.18443,-0.19074,nan,-0.223,-0.21098,-0.18853,nan,-0.13967,-0.19289,-0.24141,-0.24912,-0.20725,-0.20725,-0.21075,-0.21929,nan,-0.17139,-0.20847,nan,-0.20252,-0.19488,-0.20974
1,9191662.666,380028.9027,-0.27947,-0.25577,-0.24825,-0.1847,-0.20569,-0.2127,-0.21786,-0.2745,-0.29695,-0.27232,-0.27025,-0.26932,-0.22384,-0.1959,-0.24457,0.12085,-0.26452,-0.22448,nan,-0.27207,-0.2893,-0.31084,nan,-0.29554,-0.22437,-0.29616,-0.2887,-0.28117,-0.28117,-0.22255,-0.26237,nan,-0.14024,-0.2775,nan,-0.24169,-0.27025,-0.68316
