Class,Lat,Lon,2013_0106,2013_0609,2013_0912,2014_0103,2014_0306,2014_0609,2014_0912,2015_0103,2015_0306,2015_0609,2015_0912,2016_0103,2016_0306,2016_0609,2016_0912,2017_0103,2017_0306,2017_0609,2017_0912,2018_0103,2018_0306,2018_0609,2018_0912,2019_0103,2019_0306,2019_0609,2019_0912,2020_0103,2020_0306,2020_0609,2020_0912,2021_0103,2021_0306,2021_0609,2021_0912,2022_0103,2022_0306,2022_0609
1,9182122.13,382814.21,0.14998,0.14599,0.11759,0.23019,0.12264,0.1277,0.13136,0.1732,0.1365,0.13134,0.13337,0.1804,0.15468,nan,0.17665,0.08941,0.13118,0.14726,0.1399,0.13629,0.13045,0.11289,nan,0.13647,0.12829,0.11578,0.11494,0.12496,0.12496,0.12509,nan,0.15191,0.15327,0.13624,0.18347,0.15312,0.13233,0.13611
1,9190139.985,381408.1837,0.06362,0.06791,0.04984,0.12296,nan,0.06069,0.13038,0.0637,0.05989,0.09175,0.07601,nan,0.0974,0.05258,nan,0.13925,0.05015,0.08569,nan,0.06135,0.07698,0.06295,nan,0.08062,0.0685,0.05753,0.04979,0.07032,0.07032,nan,0.06398,nan,nan,0.10629,nan,0.07351,0.07218,0.09416
1,9190353.745,381047.9215,0.45392,0.43121,0.35614,0.4262,0.36768,0.41734,0.38101,0.46342,0.40983,0.31338,0.34073,0.38969,0.38606,nan,nan,0.19537,0.28836,0.34526,nan,0.43283,0.42184,0.31726,0.45328,0.47082,0.40602,0.26674,0.2635,0.44136,0.44136,0.5084,0.39926,nan,nan,0.38675,nan,0.36016,0.40858,0.32495
1,9190252.362,379984.1585,0.1069,0.12078,0.14982,0.17483,0.13165,0.08759,0.13168,0.10985,0.09422,0.10917,0.10262,0.12921,0.11399,0.10663,0.17325,0.0976,0.11547,0.11146,0.26081,nan,0.12112,0.12017,0.15621,0.13936,0.11809,0.09103,0.09356,0.09734,0.09734,0.10414,nan,nan,nan,0.1255,nan,0.1417,0.12187,0.17838
1,9178300.707,379607.0059,0.15922,0.12133,0.10477,0.13329,0.09276,0.1232,0.13544,0.15603,0.12956,0.12472,0.13432,0.16194,0.27992,0.17264,nan,0.1271,0.12287,0.12347,nan,0.11021,0.12379,0.10888,nan,0.11332,0.12105,0.10813,0.13818,0.11024,0.11024,0.11393,0.10165,0.11034,0.11192,0.12919,0.13825,0.10739,0.16639,0.1143
1,9187285.721,384633.4577,0.12758,0.14387,0.14953,0.25659,0.1319,0.10476,0.14232,0.13033,0.09896,0.10356,0.12141,nan,0.14791,0.09967,0.22598,0.09783,0.14784,0.11903,nan,nan,0.10633,0.11601,0.14242,0.15467,0.10314,0.10456,0.10116,0.12083,0.12083,0.13628,0.24344,nan,nan,0.13445,nan,0.18597,nan,0.15623
1,9188336.595,372360.4325,0.08682,0.10231,0.09973,0.14295,0.13106,0.08441,0.10088,0.08657,0.10511,0.09392,0.10514,0.1222,0.11706,0.07951,0.12829,0.11272,0.08747,0.10018,nan,0.09769,0.08385,0.06481,0.14954,0.08615,0.06888,0.0873,0.08195,0.09263,0.09263,nan,0.14336,nan,nan,0.08194,nan,0.09513,0.09504,0.101
1,9177868.32,391070.0706,0.06225,0.09475,0.14688,0.06173,0.05675,0.0823,0.07534,0.09207,0.0636,0.08975,0.09825,nan,nan,nan,0.13256,0.1419,0.07426,0.08003,nan,0.08209,0.07159,0.06635,0.09009,0.0695,0.08238,0.08019,0.07792,0.0798,0.0798,0.11056,0.08723,0.11072,0.08214,0.082,0.21495,0.10851,0.08354,0.08818
1,9176158.531,389910.3574,0.2069,0.23981,0.25494,0.26084,0.26267,0.23431,0.25422,0.26457,0.20082,0.21012,0.19952,0.14692,nan,nan,nan,0.2858,0.22683,0.23835,0.2136,0.2571,0.22469,0.22761,0.26866,0.26271,0.29296,0.20994,0.20453,0.22369,0.22369,0.20594,0.25127,0.29508,0.19045,0.20344,0.279,0.24754,nan,0.2203
1,9185200.046,384265.2543,0.42217,0.4152,0.43366,0.37752,0.40586,0.30312,0.42477,0.36911,0.38203,0.41476,0.42632,0.39703,nan,nan,0.48534,0.07698,0.47252,0.30562,nan,0.47122,0.42997,0.3583,nan,0.47284,0.39808,0.41228,0.41228,0.50854,0.50854,0.36094,nan,0.37542,nan,0.43369,nan,0.43539,0.45013,0.42442
1,9171953.417,375109.5267,0.32108,0.22254,0.1893,0.27351,0.25218,0.21915,0.18992,0.24403,0.21427,0.20562,0.20345,0.26033,0.25757,0.30817,nan,0.15179,0.23815,0.20636,nan,0.25262,0.21977,0.20239,nan,0.22984,0.22686,0.19512,0.20676,0.23596,0.23596,0.2555,0.28028,0.2627,0.2553,0.22252,0.28142,0.25959,0.26965,0.237
1,9166814.337,389815.3948,0.31355,0.29083,0.25196,0.43217,0.30699,0.33932,0.27182,0.35086,0.31615,0.29911,0.318,0.36803,0.30517,0.36892,nan,0.35378,0.35249,0.31814,0.34024,0.41179,0.32833,0.33375,0.32682,0.35617,0.30901,0.24706,0.26357,0.2909,0.2909,0.28145,0.36606,0.17068,0.31928,0.3233,0.3335,0.35948,0.1242,0.35703
1,9166066.383,390375.1977,0.30073,0.23438,0.19825,0.35815,0.28056,0.25156,0.22408,0.28397,0.25774,0.23862,0.26117,0.28576,0.2428,0.28348,nan,0.32773,0.24617,0.23546,0.25177,0.31006,0.25613,0.24804,0.26091,0.29888,0.26349,0.21094,0.2242,0.27342,0.27342,0.21323,0.29699,0.18572,0.2742,0.24556,0.28442,0.30552,0.08455,0.30992
1,9170913.101,389733.5191,0.24014,0.24631,0.27585,0.25074,0.2664,0.23201,0.22726,0.22531,0.24178,0.20608,0.27602,0.26287,0.28516,0.26482,nan,0.29749,0.2111,0.23618,nan,0.21627,0.21945,0.19372,0.31101,nan,0.23622,0.18678,0.27302,0.22999,0.22999,0.34347,nan,0.273,0.22128,0.23038,0.25448,0.2569,0.2858,0.22006
1,9171337.623,389063.3571,0.31895,0.28627,0.28562,0.31604,0.30921,0.28737,0.29209,0.36162,0.23673,0.2316,0.28158,0.30753,0.2882,0.25081,0.34337,0.28539,0.24732,0.26175,0.34286,0.21757,0.27907,0.26901,nan,0.33049,0.30113,0.26383,0.3017,0.27989,0.27989,0.29376,0.29397,nan,0.28412,0.28743,0.33444,0.33671,nan,0.2937
1,9183553.354,374964.3892,0.07706,0.08166,0.08437,0.15173,0.07186,0.08884,0.09551,0.07786,0.13408,0.08176,0.07784,0.08737,0.08156,0.08348,0.17607,0.09328,0.05608,0.06688,nan,0.06597,0.07543,0.06522,nan,0.07588,0.07269,0.06316,0.06463,0.0617,0.0617,0.08357,0.06887,0.08933,0.08759,0.08472,nan,0.09169,0.09188,0.09392
1,9164885.088,369141.4716,0.27288,0.25145,0.24276,0.27165,0.26024,0.27187,0.23536,0.2083,0.20138,0.2086,0.23618,0.27609,0.23697,0.22511,nan,0.21894,0.19715,0.21922,0.235,0.14761,0.24039,0.18164,0.22081,0.24084,0.20606,0.1629,0.20775,0.18769,0.18769,0.22245,0.25658,0.247,0.23279,0.21147,0.25228,0.23254,0.2459,0.24341
1,9193094.815,371993.998,0.06889,0.07992,0.07519,0.14713,0.15568,0.07205,0.09381,0.06801,0.06653,0.08779,0.0905,0.10488,0.14566,nan,0.15173,0.09922,0.06899,0.08416,nan,0.07758,0.08583,0.08779,nan,0.08564,0.1071,0.07338,0.07338,0.08401,0.08401,0.08644,0.06277,nan,0.12538,0.10908,nan,0.11157,0.09861,nan
1,9191346.432,379208.1186,0.08667,0.08922,0.09028,0.16136,0.17111,0.06822,0.12283,0.09196,0.07078,0.07909,0.12778,0.11842,0.08866,nan,0.10579,0.13137,0.08516,0.08264,0.10083,0.06476,0.08847,0.07496,0.32922,0.07642,0.13079,0.069,0.07837,0.07201,0.07201,0.07767,0.0548,nan,0.11715,0.07895,nan,0.08373,nan,0.12404
