Class,Lat,Lon,2013_0106,2013_0609,2013_0912,2014_0103,2014_0306,2014_0609,2014_0912,2015_0103,2015_0306,2015_0609,2015_0912,2016_0103,2016_0306,2016_0609,2016_0912,2017_0103,2017_0306,2017_0609,2017_0912,2018_0103,2018_0306,2018_0609,2018_0912,2019_0103,2019_0306,2019_0609,2019_0912,2020_0103,2020_0306,2020_0609,2020_0912,2021_0103,2021_0306,2021_0609,2021_0912,2022_0103,2022_0306,2022_0609
1,9182122.13,382814.21,0.38333,0.32062,0.25952,0.38955,0.30985,0.31854,0.28667,0.37457,0.31974,0.30753,0.29607,0.41411,0.34808,nan,0.36113,0.10359,0.31485,0.34338,0.29969,0.35646,0.31276,0.24655,nan,0.34688,0.35752,0.24561,0.2405,0.29744,0.29744,0.25373,nan,0.33816,0.35787,0.30527,0.35069,0.33493,0.33915,0.33392
1,9190139.985,381408.1837,0.07979,0.09366,0.07357,0.16998,nan,0.09843,0.19771,0.10857,0.10001,0.15858,0.12478,nan,0.14855,0.08828,nan,0.17276,0.09152,0.16045,nan,0.10663,0.1428,0.11847,nan,0.1427,0.12734,0.11361,0.09728,0.13157,0.13157,nan,0.1175,nan,nan,0.19941,nan,0.13755,0.1352,0.17877
1,9190353.745,381047.9215,0.78844,0.73819,0.59802,0.69611,0.65803,0.72651,0.63879,0.77622,0.74517,0.57322,0.58298,0.67074,0.65358,nan,nan,0.22554,0.60044,0.64245,nan,0.70323,0.717,0.60459,0.69052,0.74875,0.7335,0.52459,0.50951,0.76472,0.76472,0.73453,0.69408,nan,nan,0.63161,nan,0.62987,0.68583,0.5882
1,9190252.362,379984.1585,0.33111,0.29755,0.32655,0.39642,0.37166,0.27948,0.31692,0.30839,0.28471,0.27427,0.28242,0.3417,0.32999,0.29854,0.3936,0.11492,0.34392,0.31589,0.47301,nan,0.34483,0.33139,0.38277,0.40032,0.33082,0.26372,0.26165,0.29336,0.29336,0.29736,nan,nan,nan,0.35637,nan,0.39021,0.31164,0.36916
1,9178300.707,379607.0059,0.3397,0.279,0.22347,0.2944,0.28329,0.27539,0.30403,0.3274,0.31782,0.2807,0.28142,0.3714,0.48755,0.39597,nan,0.15009,0.30474,0.28683,nan,0.23203,0.29588,0.24694,nan,0.23118,0.26981,0.21651,0.25747,0.249,0.249,0.26082,0.19485,0.19766,0.23613,0.26159,0.25885,0.20106,0.33302,0.26652
1,9187285.721,384633.4577,0.36914,0.35838,0.36995,0.40218,0.37607,0.29641,0.33754,0.34965,0.28614,0.26189,0.31306,nan,0.39232,0.27931,0.46351,0.11446,0.39341,0.34084,nan,nan,0.30834,0.32566,0.35312,0.40704,0.30969,0.28846,0.27533,0.34121,0.34121,0.33707,0.43375,nan,nan,0.34612,nan,0.38331,nan,0.38076
1,9188336.595,372360.4325,0.28279,0.27098,0.2672,0.33275,0.3448,0.24906,0.2737,0.29967,0.281,0.25807,0.24887,0.29485,0.30787,0.20519,0.31052,0.14624,0.23164,0.26209,nan,0.29512,0.19831,0.17271,0.28222,0.22969,0.20108,0.21773,0.20074,0.24447,0.24447,nan,0.2816,nan,nan,0.23029,nan,0.25751,0.31133,0.29162
1,9177868.32,391070.0706,0.19739,0.27461,0.37014,0.20728,0.20414,0.27584,0.21275,0.26522,0.19207,0.19645,0.23014,nan,nan,nan,0.28606,0.19326,0.21184,0.20607,nan,0.19743,0.18957,0.17701,0.22922,0.2095,0.22225,0.21652,0.19675,0.22722,0.22722,0.27068,0.22025,0.27681,0.21797,0.22311,0.45064,0.27676,0.26548,0.25816
1,9176158.531,389910.3574,0.51448,0.5265,0.52429,0.59863,0.6222,0.54939,0.51358,0.58215,0.48363,0.43842,0.38626,0.60567,nan,nan,nan,0.49088,0.52101,0.51661,0.39074,0.57475,0.49054,0.52399,0.52273,0.60112,0.59738,0.46555,0.42454,0.49315,0.49315,0.48549,0.49816,0.52715,0.42475,0.46156,0.4641,0.51509,nan,0.53638
1,9185200.046,384265.2543,0.77489,0.66259,0.67708,0.67367,0.73724,0.69132,0.7224,0.71641,0.73049,0.68924,0.70744,0.68595,nan,nan,0.71009,0.07017,0.81204,0.60346,nan,0.79176,0.74748,0.64878,nan,0.80667,0.71867,0.73924,0.73924,0.8016,0.8016,0.6136,nan,0.63477,nan,0.75485,nan,0.74076,0.82657,0.73958
